Transformed_Feature,Mean_Abs_SHAP
cat__Τύπος_C8,0.2625204
cat__Τύπος_Master,0.25778726
cat__Κατασκευαστής_Xev,0.2508539
cat__Περιοχή_ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ 14342,0.2459298
cat__Κατασκευαστής_Alfa Romeo,0.24526185
cat__Τύπος_GLA 250,0.24339624
cat__Περιοχή_ΚΑΛΛΙΘΕΑ 17674,0.24198507
cat__Τύπος_Polo,0.22965246
cat__Περιοχή_ΣΑΛΑΜΙΝΑ 18900,0.22655351
cat__Τύπος_GLC 200,0.21857223
cat__Τύπος_iX3,0.21105604
cat__Τύπος_A5,0.20106402
cat__Περιοχή_ΑΘΗΝΑ 11143,0.20101577
cat__Τύπος_A7,0.20078358
cat__Περιοχή_ΚΗΦΙΣΙΑ 14562,0.1987693
cat__Περιοχή_ΖΩΓΡΑΦΟΣ 15771,0.19743352
cat__Μετάδοση_Ημιαυτόματο,0.19403832
cat__Περιοχή_ΚΑΜΑΤΕΡΟ 13451,0.19137369
cat__Τύπος_GLC Coupe,0.19099107
cat__Τύπος_XC40,0.18687488
cat__Περιοχή_ΗΛΙΟΥΠΟΛΗ 16341,0.18574661
cat__Κατασκευαστής_Honda,0.18144831
cat__Τύπος_PROACE CITY,0.18128096
cat__Τύπος_Taigo,0.18079068
cat__Τύπος_E 200,0.17881167
cat__Περιοχή_ΑΣΠΡΟΠΥΡΓΟΣ 19300,0.17685468
cat__Τύπος_EHS,0.17514619
cat__Περιοχή_ΑΘΗΝΑ 11528,0.17486742
cat__Περιοχή_ΑΘΗΝΑ 11363,0.15263787
cat__Περιοχή_ΑΘΗΝΑ 11524,0.14677459
cat__Τύπος_Mifa 9,0.14106956
cat__Τύπος_Eletre,0.1331853
cat__Περιοχή_ΑΘΗΝΑ 11141,0.13284004
cat__Τύπος_GLA 200,0.13249885
cat__Περιοχή_ΚΑΛΛΙΘΕΑ 17673,0.11934792
cat__Περιοχή_ΚΕΡΑΤΕΑ 19001,0.11902025
cat__Κατασκευαστής_Dacia,0.11778906
cat__Περιοχή_ΓΛΥΦΑΔΑ 16561,0.11168388
cat__Περιοχή_ΙΛΙΟΝ 13122,0.11150094
cat__Τύπος_TT,0.11036815
cat__Κατασκευαστής_Foton,0.10167677
cat__Περιοχή_ΑΘΗΝΑ 11525,0.10021938
cat__Περιοχή_ΝΕΟ ΨΥΧΙΚΟ 15451,0.09689923
cat__Τύπος_ENERGY SPORT,0.09591822
cat__Περιοχή_ΧΑΛΑΝΔΡΙ 15232,0.0930904
cat__Περιοχή_ΑΘΗΝΑ 11635,0.09191279
cat__Περιοχή_ΜΕΛΙΣΣΙΑ 15127,0.09154303
cat__Περιοχή_ΑΘΗΝΑ 10447,0.09101916
cat__Περιοχή_ΚΟΡΥΔΑΛΛΟΣ 18122,0.089730084
cat__Τύπος_Kodiaq,0.08073668
cat__Τύπος_GLE 63 AMG,0.07713857
cat__Περιοχή_ΒΥΡΩΝΑΣ 16233,0.074760236
cat__Περιοχή_ΩΡΩΠΟΣ 19015,0.07471908
cat__Περιοχή_ΑΘΗΝΑ 10671,0.07225566
cat__Περιοχή_ΗΛΙΟΥΠΟΛΗ 16342,0.072086684
cat__Τύπος_Yoyo,0.0719817
cat__Τύπος_C-HR,0.07082632
cat__Περιοχή_ΑΡΓΥΡΟΥΠΟΛΗ 16451,0.068222806
cat__Περιοχή_ΚΑΙΣΑΡΙΑΝΗ 16121,0.06715743
cat__Περιοχή_ΝΕΑ ΙΩΝΙΑ 14231,0.06467586
cat__Τύπος_Marvel R,0.06271462
cat__Περιοχή_ΧΑΛΑΝΔΡΙ 15234,0.060143307
cat__Κατασκευαστής_Nissan,0.060054436
cat__Περιοχή_ΒΟΥΛΙΑΓΜΕΝΗ 16671,0.058179323
cat__Περιοχή_ΑΜΠΕΛΑΚΙΑ 18902,0.0578484
cat__Περιοχή_ΠΑΛΑΙΑ ΠΕΝΤΕΛΗ 15236,0.057673443
cat__Τύπος_C4 X,0.05410622
cat__Περιοχή_ΡΑΦΗΝΑ 19009,0.052459184
cat__Περιοχή_ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17562,0.050344437
cat__Περιοχή_ΑΝΑΒΥΣΣΟΣ 19013,0.05026075
cat__Περιοχή_ΑΘΗΝΑ 10442,0.048783682
cat__Τύπος_MG5,0.045426857
cat__Περιοχή_ΧΟΛΑΡΓΟΣ 15561,0.045400992
cat__Περιοχή_ΠΕΤΡΟΥΠΟΛΗ 13231,0.04234667
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12135,0.041520577
cat__Περιοχή_ΠΑΙΑΝΙΑ 19002,0.04034282
cat__Περιοχή_ΜΑΡΟΥΣΙ 15125,0.03314059
cat__Περιοχή_ΑΘΗΝΑ 10445,0.032638077
cat__Περιοχή_ΑΙΓΑΛΕΩ 12242,0.032606646
cat__Τύπος_Model Y,0.030424729
cat__Περιοχή_ΝΙΚΑΙΑ 18451,0.029402755
cat__Περιοχή_ΒΥΡΩΝΑΣ 16232,0.0286565
cat__Τύπος_ë-C3,0.02835342
cat__Περιοχή_ΑΘΗΝΑ 11527,0.02681873
cat__Περιοχή_ΑΘΗΝΑ 11476,0.023918634
cat__Περιοχή_ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17561,0.023530988
cat__Περιοχή_ΜΟΣΧΑΤΟ 18345,0.022842621
cat__Περιοχή_ΑΘΗΝΑ 10444,0.020733519
cat__Περιοχή_ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ 15341,0.016818505
cat__Περιοχή_ΠΕΡΙΣΤΕΡΙ 12132,0.013279204
cat__Τύπος_Emira,0.0
cat__Τύπος_Elroq,0.0
cat__Τύπος_EcoSport,0.0
cat__Τύπος_Eclipse Cross,0.0
cat__Τύπος_EX90,0.0
cat__Τύπος_EV6,0.0
cat__Τύπος_ETP 3,0.0
cat__Τύπος_EQS SUV,0.0
cat__Τύπος_A6 allroad,0.0
cat__Τύπος_A4 allroad,0.0
cat__Τύπος_A4,0.0
cat__Τύπος_A3,0.0
cat__Τύπος_A1,0.0
cat__Τύπος_GLA 220,0.0
cat__Τύπος_GLA 180,0.0
cat__Τύπος_Frontera,0.0
cat__Τύπος_Formentor,0.0
cat__Τύπος_ForTwo,0.0
cat__Τύπος_ForFour,0.0
cat__Τύπος_Fiesta,0.0
