Κατασκευαστής,Τύπος,Εγγραφή,Ηλικία,Καύσιμο,Μετάδοση,Κυβικά,Ιπποδύναμη,Χιλιόμετρα,Κατάσταση,Περιοχή,Τιμή
Ford,Puma,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,120.0,47500.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,20990.0
Ford,Fiesta,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1000.0,125.0,109000.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,15990.0
Ford,Puma,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,120.0,70000.0,Μεταχειρισμένο,ΠΑΛΑΙΟ ΦΑΛΗΡΟ 17564,18490.0
Toyota,Proace,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,2000.0,140.0,88125.0,Μεταχειρισμένο,ΑΘΗΝΑ 10444,38000.0
Volkswagen,Golf,2022.0,4.0,Βενζίνη,Αυτόματο,2000.0,265.0,51900.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17455,36500.0
Opel,Corsa,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,45000.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18346,13380.0
Mercedes-Benz,AMG GT,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,3000.0,457.0,45000.0,Μεταχειρισμένο,ΑΘΗΝΑ 11631,145000.0
Peugeot,2008,2022.0,4.0,Βενζίνη,Αυτόματο,1200.0,130.0,50300.0,Μεταχειρισμένο,ΑΘΗΝΑ 11631,19500.0
Ford,Ranger,2022.0,4.0,Πετρέλαιο,Αυτόματο,2000.0,213.0,163000.0,Μεταχειρισμένο,ΑΘΗΝΑ 11631,29900.0
Peugeot,208,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,38000.0,Μεταχειρισμένο,ΝΕΑ ΙΩΝΙΑ 14234,15490.0
Citroen,C3,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,83.0,104072.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12462,10850.0
Peugeot,208,2022.0,4.0,Βενζίνη,Αυτόματο,1200.0,101.0,72460.0,Μεταχειρισμένο,ΒΡΙΛΗΣΣΙΑ 15235,19500.0
Mercedes-Benz,A 45 AMG,2022.0,4.0,Βενζίνη,Αυτόματο,2000.0,421.0,66000.0,Μεταχειρισμένο,ΙΛΙΟΝ 13122,57000.0
Peugeot,2008,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,110.0,131000.0,Μεταχειρισμένο,ΙΛΙΟΝ 13122,15400.0
Mitsubishi,Space Star,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,71.0,81500.0,Μεταχειρισμένο,ΑΘΗΝΑ 11142,11300.0
Hyundai,i 10,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,80.0,29700.0,Μεταχειρισμένο,ΑΘΗΝΑ 10563,14700.0
Citroen,C3,2022.0,4.0,Βενζίνη,Αυτόματο,1200.0,110.0,32500.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,15800.0
BMW,Z4,2022.0,4.0,Βενζίνη,Αυτόματο,2000.0,263.0,24783.0,Μεταχειρισμένο,ΑΝΟΙΞΗ 14569,59000.0
Ford,Puma,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,120.0,174000.0,Μεταχειρισμένο,ΑΙΓΑΛΕΩ 12243,14490.0
Mini,Countryman,2022.0,4.0,Βενζίνη,Αυτόματο,1500.0,136.0,28800.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,25900.0
Peugeot,3008,2022.0,4.0,Βενζίνη,Αυτόματο,1200.0,130.0,48500.0,Μεταχειρισμένο,ΜΟΣΧΑΤΟ 18345,23900.0
Peugeot,2008,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,64350.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,16650.0
Opel,Crossland,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,120.0,142000.0,Μεταχειρισμένο,ΝΕΑ ΜΑΚΡΗ 19005,13700.0
Ford,Focus,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,120.0,180000.0,Μεταχειρισμένο,ΝΕΑ ΜΑΚΡΗ 19005,17600.0
Nissan,Qashqai,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1300.0,140.0,88923.0,Μεταχειρισμένο,ΑΘΗΝΑ 11855,17990.0
Volkswagen,T-Roc,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,115.0,16000.0,Μεταχειρισμένο,ΝΕΑ ΜΑΚΡΗ 19005,20900.0
Renault,Captur,2022.0,4.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,50000.0,Μεταχειρισμένο,ΑΘΗΝΑ 11141,18000.0
Toyota,Yaris,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,72.0,63000.0,Μεταχειρισμένο,ΚΟΡΥΔΑΛΛΟΣ 18121,13700.0
Opel,Corsa,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,102.0,95000.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,11900.0
Jeep,Renegade,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,120.0,52000.0,Μεταχειρισμένο,ΧΑΛΑΝΔΡΙ 15234,18200.0
Volvo,XC 60,2022.0,4.0,Υβριδικό Πετρελαίου,Αυτόματο,2000.0,235.0,52302.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,55000.0
Citroen,C3,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,83.0,61056.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,13000.0
Toyota,Yaris,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,63888.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,17300.0
Toyota,Yaris,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,56717.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,17000.0
Mercedes-Benz,GLE 350,2022.0,4.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,320.0,110000.0,Μεταχειρισμένο,ΣΠΑΤΑ 19004,61500.0
Peugeot,308,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,130.0,53059.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,23300.0
Mercedes-Benz,GLC 220,2022.0,4.0,Πετρέλαιο,Αυτόματο,2000.0,197.0,111000.0,Μεταχειρισμένο,ΜΕΓΑΡΑ 19100,55000.0
Mercedes-Benz,A 35 AMG,2022.0,4.0,Βενζίνη,Αυτόματο,2000.0,306.0,81000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,49000.0
Volkswagen,ID.4,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,201.0,88000.0,Μεταχειρισμένο,ΒΡΙΛΗΣΣΙΑ 15235,22900.0
Opel,Grandland X,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,52396.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,27900.0
Renault,Clio,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,90.0,128000.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,12500.0
Jeep,Wrangler,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,381.0,99000.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,60000.0
Ford,Focus,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1000.0,125.0,73000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,19990.0
Mercedes-Benz,CLA 200,2022.0,4.0,Βενζίνη,Αυτόματο,1300.0,163.0,71000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,37490.0
Jeep,Renegade,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,241.0,79000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,24990.0
Audi,Q3,2022.0,4.0,Βενζίνη,Αυτόματο,1500.0,150.0,29400.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16675,30499.0
Suzuki,Swift,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1200.0,83.0,61300.0,Μεταχειρισμένο,ΣΠΑΤΑ 19004,13400.0
MG,ZS,2022.0,4.0,Βενζίνη,Χειροκίνητο,1500.0,105.0,89000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,15100.0
Toyota,Corolla,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,116.0,79000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,16950.0
Peugeot,3008,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,56000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,25800.0
LandRover,Range Rover Evoque,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,160.0,74000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,42900.0
Mercedes-Benz,A 160,2022.0,4.0,Βενζίνη,Χειροκίνητο,1300.0,109.0,99000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,20650.0
Opel,Crossland,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,110.0,69000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,16490.0
Ford,Puma,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1000.0,125.0,119000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,17950.0
Dacia,Sandero,2022.0,4.0,Βενζίνη,Αυτόματο,1000.0,90.0,71000.0,Μεταχειρισμένο,ΑΥΛΩΝΑ 19011,13500.0
Maserati,Levante,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,330.0,89000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,68500.0
Mercedes-Benz,GLC 300,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,320.0,99000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,39900.0
Jeep,Renegade,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,190.0,107000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,20700.0
Volvo,V60,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,340.0,119000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,29950.0
LandRover,Defender,2022.0,4.0,Υβριδικό Πετρελαίου,Αυτόματο,3000.0,200.0,159000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,62900.0
Toyota,Corolla,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,116.0,79000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,16890.0
BMW,X1,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,225.0,119000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,27950.0
Citroen,C4,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,129000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,20490.0
Volkswagen,Tiguan,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,260.0,81000.0,Μεταχειρισμένο,ΑΘΗΝΑ 11744,32990.0
Toyota,Corolla,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,116.0,51000.0,Μεταχειρισμένο,ΑΥΛΩΝΑ 19011,15900.0
Opel,Corsa,2022.0,4.0,Βενζίνη,Αυτόματο,1200.0,130.0,79000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,14290.0
Volkswagen,Golf,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,150.0,149000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,22990.0
Maserati,Levante,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,330.0,69000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,73900.0
Peugeot,3008,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1600.0,225.0,99000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,24890.0
Fiat,Doblo,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1600.0,105.0,109000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,11690.0
Peugeot,2008,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,104000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,17690.0
Dacia,Duster,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,115.0,164000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,16950.0
Ford,Ranger,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,2000.0,170.0,98000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,29950.0
Renault,Clio,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,90.0,89000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,12990.0
Nissan,Qashqai,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1300.0,140.0,88923.0,Μεταχειρισμένο,ΑΘΗΝΑ 11855,17990.0
Ford,Kuga,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2500.0,225.0,59000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,27950.0
Ford,Puma,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1000.0,125.0,79000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,18490.0
Peugeot,3008,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,119000.0,Μεταχειρισμένο,ΓΛΥΚΑ ΝΕΡΑ 15354,23990.0
Toyota,Yaris,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,33000.0,Μεταχειρισμένο,ΚΑΛΛΙΘΕΑ 17675,17990.0
Jeep,Compass,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,240.0,96000.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,24990.0
Fiat,500e,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,118.0,56000.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15125,21400.0
Mercedes-Benz,CLA 250,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,218.0,22000.0,Μεταχειρισμένο,ΠΑΙΑΝΙΑ 19002,48000.0
Citroen,C3,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,110.0,71730.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,12700.0
Renault,Clio,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,90.0,66548.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,12900.0
Opel,Corsa,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,101.0,85117.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,12600.0
Toyota,Corolla,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,122.0,119582.0,Μεταχειρισμένο,ΑΘΗΝΑ 10442,23800.0
Audi,e-tron,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,408.0,45000.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16562,58500.0
Peugeot,308,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,130.0,102269.0,Μεταχειρισμένο,ΝΕΑ ΙΩΝΙΑ 14235,16900.0
Toyota,Corolla,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,122.0,62733.0,Μεταχειρισμένο,ΝΕΑ ΙΩΝΙΑ 14235,22900.0
Mercedes-Benz,A 250,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,220.0,65000.0,Μεταχειρισμένο,ΑΘΗΝΑ 11141,29999.0
Mercedes-Benz,A 250,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,220.0,65000.0,Μεταχειρισμένο,ΑΘΗΝΑ 11141,29999.0
Fiat,500e,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,118.0,38000.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,21700.0
Peugeot,2008,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,110.0,79800.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,17500.0
Tesla,Model 3,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,513.0,35000.0,Μεταχειρισμένο,ΓΕΡΑΚΑΣ 15344,34200.0
Audi,SQ5,2022.0,4.0,Υβριδικό Πετρελαίου,Αυτόματο,3000.0,341.0,84000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12134,84900.0
Mini,ONE,2022.0,4.0,Βενζίνη,Χειροκίνητο,1500.0,102.0,29000.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16451,20950.0
Toyota,C-HR,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,122.0,60000.0,Μεταχειρισμένο,ΝΙΚΑΙΑ 18454,22900.0
Audi,A3,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,110.0,44784.0,Μεταχειρισμένο,ΑΘΗΝΑ 11855,21500.0
Suzuki,Vitara,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1400.0,130.0,31000.0,Μεταχειρισμένο,ΝΕΟ ΗΡΑΚΛΕΙΟ 14121,14900.0
Toyota,Yaris,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,71578.0,Μεταχειρισμένο,ΑΘΗΝΑ 11525,16300.0
Fiat,500,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1000.0,70.0,19225.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14564,11990.0
Suzuki,Vitara,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1400.0,130.0,43600.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16561,20900.0
Mercedes-Benz,GLE 350,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,2000.0,333.0,76400.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16561,69000.0
Subaru,XV,2022.0,4.0,Βενζίνη,Αυτόματο,1600.0,115.0,78000.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16561,19700.0
BMW,X2,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,116.0,44500.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16561,30500.0
Suzuki,SX4 S-Cross,2022.0,4.0,Υβριδικό Βενζίνης,Χειροκίνητο,1400.0,130.0,61000.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16561,22900.0
Jeep,Renegade,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1300.0,190.0,72500.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16561,21990.0
Peugeot,208,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,75.0,75000.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16675,11490.0
Toyota,Aygo,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,72.0,78000.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16675,10490.0
Nissan,Micra,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,92.0,43828.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,12900.0
Peugeot,308,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,58327.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,19990.0
Nissan,Qashqai,2022.0,4.0,Βενζίνη,Αυτόματο,1300.0,158.0,24413.0,Μεταχειρισμένο,ΑΘΗΝΑ 10447,30990.0
Mercedes-Benz,A 200,2022.0,4.0,Βενζίνη,Χειροκίνητο,1300.0,163.0,179000.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13672,24900.0
Volkswagen,ID.3,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,201.0,57208.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,24900.0
Opel,Crossland,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,130.0,29651.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14451,16900.0
Audi,Q3,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,150.0,65000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,31900.0
Audi,Q2,2022.0,4.0,Βενζίνη,Αυτόματο,1500.0,150.0,71000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,25800.0
BMW,X1,2022.0,4.0,Βενζίνη,Αυτόματο,1500.0,140.0,77000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,25300.0
Volkswagen,T-Roc,2022.0,4.0,Βενζίνη,Αυτόματο,1500.0,150.0,49000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,22300.0
Mercedes-Benz,A 160,2022.0,4.0,Βενζίνη,Χειροκίνητο,1300.0,109.0,102000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,17800.0
Renault,Clio,2022.0,4.0,Βενζίνη,Αυτόματο,1000.0,90.0,75400.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,14000.0
Skoda,Octavia,2022.0,4.0,Πετρέλαιο,Αυτόματο,2000.0,115.0,161000.0,Μεταχειρισμένο,ΑΘΗΝΑ 10445,15990.0
Citroen,C3,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,83.0,99000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12132,10250.0
Renault,Kadjar,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,120.0,75000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,20500.0
Peugeot,3008,2022.0,4.0,Πετρέλαιο,Αυτόματο,1500.0,130.0,44900.0,Μεταχειρισμένο,ΑΘΗΝΑ 11143,25800.0
Toyota,C-HR,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,122.0,63000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,20900.0
Toyota,C-HR,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1800.0,122.0,66000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,20990.0
ClubCar,Precedent,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,22.0,,Μεταχειρισμένο,ΚΟΡΩΠΙ 19400,6490.0
Ford,Ranger,2022.0,4.0,Πετρέλαιο,Αυτόματο,2000.0,213.0,115000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,31000.0
Audi,Q4 e-tron,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,170.0,42000.0,Μεταχειρισμένο,ΑΛΙΜΟΣ 17455,37500.0
BMW,X1,2022.0,4.0,Πετρέλαιο,Αυτόματο,2000.0,150.0,50000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,39990.0
Mercedes-Benz,GLC 300,2022.0,4.0,Plug-in Hybrid Πετρελαίου,Αυτόματο,2000.0,306.0,120000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,44900.0
Mercedes-Benz,GLC 200,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,2000.0,204.0,85000.0,Μεταχειρισμένο,ΧΑΙΔΑΡΙ 12461,45000.0
Volkswagen,Tiguan,2022.0,4.0,Βενζίνη,Αυτόματο,1500.0,150.0,26700.0,Μεταχειρισμένο,ΑΙΓΑΛΕΩ 12242,32500.0
Citroen,C3,2022.0,4.0,Βενζίνη,Χειροκίνητο,1200.0,83.0,46000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12135,13200.0
Toyota,Yaris,2022.0,4.0,Βενζίνη,Χειροκίνητο,1500.0,125.0,79000.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,14250.0
MG,EHS,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1500.0,258.0,49000.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,23750.0
Ford,Puma,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1000.0,125.0,103000.0,Μεταχειρισμένο,ΑΧΑΡΝΕΣ 13671,17950.0
Toyota,Aygo,2022.0,4.0,Βενζίνη,Αυτόματο,1000.0,75.0,65000.0,Μεταχειρισμένο,ΧΑΛΑΝΔΡΙ 15231,13499.0
Porsche,911,2022.0,4.0,Βενζίνη,Αυτόματο,3000.0,450.0,64000.0,Μεταχειρισμένο,ΗΛΙΟΥΠΟΛΗ 16346,180000.0
Cupra,Born,2022.0,4.0,Ηλεκτρικό,Αυτόματο,,228.0,48621.0,Μεταχειρισμένο,ΑΘΗΝΑ 11476,27000.0
Porsche,911,2022.0,4.0,Βενζίνη,Αυτόματο,3000.0,385.0,69500.0,Μεταχειρισμένο,ΗΛΙΟΥΠΟΛΗ 16346,156000.0
Kia,Picanto,2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,67.0,35000.0,Μεταχειρισμένο,ΝΕΑ ΣΜΥΡΝΗ 17122,11490.0
Toyota,Aygo (X),2022.0,4.0,Βενζίνη,Χειροκίνητο,1000.0,72.0,9500.0,Μεταχειρισμένο,ΑΝΟΙΞΗ 14569,14700.0
Kia,Xceed,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,160.0,23000.0,Μεταχειρισμένο,ΣΑΛΑΜΙΝΑ 18900,25000.0
Volkswagen,Taigo,2022.0,4.0,Βενζίνη,Αυτόματο,1000.0,110.0,60900.0,Μεταχειρισμένο,ΑΝΟΙΞΗ 14569,17900.0
BMW,X3 M,2022.0,4.0,Plug-in Hybrid Βενζίνης,Αυτόματο,3000.0,300.0,76000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,62000.0
Renault,Clio,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,100.0,52000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,14500.0
Ford,Puma,2022.0,4.0,Υβριδικό Βενζίνης,Αυτόματο,1000.0,125.0,92000.0,Μεταχειρισμένο,ΜΕΤΑΜΟΡΦΩΣΗ 14452,17890.0
Renault,Clio,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,100.0,52000.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,14500.0
Opel,Corsa,2022.0,4.0,Βενζίνη,Αυτόματο,1200.0,101.0,75000.0,Μεταχειρισμένο,ΒΑΡΗ 16672,15990.0
Dacia,Duster,2022.0,4.0,Πετρέλαιο,Χειροκίνητο,1500.0,115.0,93887.0,Μεταχειρισμένο,ΠΕΡΙΣΤΕΡΙ 12133,13999.0
